Rang,Tendance,Variation hebdomadaire,Variation mensuelle,Variation annuelle,2024-08-13,2024-08-20,2024-08-27,2024-09-03,2024-09-10,2024-09-17,2024-09-24,2024-10-01,2024-10-08,2024-10-15,2024-10-22,2024-10-29,2024-11-05,2024-11-12,2024-11-19,2024-11-26,2024-12-03,2024-12-10,2024-12-17,2024-12-24,2024-12-31,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12
1,ongles d'automne,"100 %","600 %","300 %",0,8,8,14,46,60,67,87,100,93,60,60,78,74,68,53,30,18,12,9,7,9,12,10,7,7,7,8,9,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,gomez addams,"400 %","300 %","300 %",6,6,8,8,13,11,10,14,20,43,53,71,100,22,15,9,11,6,10,7,11,7,6,6,5,7,8,9,8,8,8,7,7,12,5,8,6,9,7,7,9,5,4,8,8,7,4,7,7,7,5,16,76
3,ongles octobre,"60 %","600 %","200 %",1,2,10,16,42,77,99,100,94,87,77,57,40,25,12,6,2,1,1,1,0,0,0,0,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
4,ongle rentrée,"50 %","1 500 %","100 %",26,43,65,100,24,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,2,2,5,9,18,32,48
5,september nails,"60 %","700 %","80 %",12,26,100,62,67,46,32,14,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,13,22
6,back to school nails,"70 %","700 %","60 %",35,68,92,100,26,8,3,2,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,2,2,2,5,7,10,18,28,49
7,ongle automne,"60 %","500 %","200 %",3,12,12,31,76,80,92,100,90,73,66,52,42,34,25,14,7,4,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,9
8,ongle rentrée scolaire,"20 %","700 %","100 %",36,57,100,78,19,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,7,8,16,28,42,52
9,coiffure pour la rentrée,"30 %","400 %","4 %",25,28,44,100,6,4,3,2,2,1,1,1,5,0,1,1,0,0,0,1,1,5,0,0,0,0,0,1,3,2,2,0,0,0,0,1,3,2,2,1,0,0,0,1,1,1,2,3,4,6,8,15,19
10,nail art automne,"40 %","400 %","80 %",7,11,100,40,80,82,78,81,74,61,53,47,42,38,28,18,11,6,4,3,3,4,5,4,2,3,3,4,4,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,2,3,3,6,8,11
11,ongles rentrée,"70 %","700 %","100 %",23,46,71,100,36,13,14,12,9,8,5,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1,2,0,0,0,1,1,0,1,2,3,4,6,11,21,25,43
12,ongles automne,"20 %","500 %","70 %",7,11,9,27,49,71,88,100,89,88,68,54,44,32,26,15,6,3,2,2,2,2,2,2,2,2,1,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,5,5
13,fall nails,"20 %","400 %","100 %",6,11,22,36,73,88,97,100,91,76,64,53,43,37,32,17,11,5,3,3,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,1,1,1,1,2,3,3,6,8,10
14,idée de coiffure pour la rentrée,"30 %","500 %","50 %",20,33,50,100,7,5,5,4,3,2,2,2,8,1,1,1,1,1,1,2,2,8,1,1,1,1,1,2,5,3,3,1,0,0,1,1,3,3,3,1,0,1,1,0,1,1,3,3,8,10,10,19,26
15,nails autumn,"20 %","300 %","200 %",2,6,9,31,33,28,28,29,30,100,46,41,38,39,32,22,13,11,9,7,6,6,3,2,2,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5
16,ongles halloween,"5 %","200 %","30 %",3,4,5,9,16,29,39,54,80,98,100,81,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3
