Rang,Tendance,Volume normalisé,Variation hebdomadaire,Variation mensuelle,Variation annuelle,2024-08-13,2024-08-20,2024-08-27,2024-09-03,2024-09-10,2024-09-17,2024-09-24,2024-10-01,2024-10-08,2024-10-15,2024-10-22,2024-10-29,2024-11-05,2024-11-12,2024-11-19,2024-11-26,2024-12-03,2024-12-10,2024-12-17,2024-12-24,2024-12-31,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12
1,inspiration makeup,100,"3 %","-50 %","600 %",28,26,30,24,0,0,0,3,21,27,24,100,78,83,71,68,77,78,63,60,62,44,37,42,45,58,53,51,52,61,76,69,49,51,67,62,72,70,68,67,51,45,49,71,52,92,63,61,53,43,6,38,40
2,idees coiffure,97,"70 %","-30 %","3 000 %",19,14,11,10,0,1,1,1,22,9,6,37,32,37,51,62,86,83,66,75,89,56,44,53,58,85,76,63,67,80,95,78,61,61,75,70,80,76,78,76,68,70,75,83,54,92,94,58,59,49,6,60,100
3,coiffure,70,"0 %","-10 %","9 %",68,71,76,82,66,69,69,69,68,66,62,58,61,59,60,63,63,68,68,87,67,57,60,66,73,75,74,78,93,87,83,86,90,92,87,83,82,91,88,92,100,98,90,95,96,99,89,81,82,75,80,80,80
4,ongle,70,"-9 %","3 %","8 %",76,69,74,71,60,62,60,58,56,57,64,59,51,54,57,58,57,66,70,85,70,68,75,70,67,69,75,79,80,73,71,71,69,81,84,86,82,84,79,83,83,88,81,83,82,84,92,100,90,93,100,96,87
5,nails,50,"-4 %","4 %","2 %",82,77,77,77,66,65,59,59,58,58,56,54,54,58,58,59,60,66,72,77,68,70,77,74,70,72,73,75,77,71,71,80,83,100,79,76,72,78,80,80,83,91,91,81,84,85,90,93,89,92,95,96,92
6,tendances skincare,48,"-40 %","90 %","30 %",23,20,27,21,0,0,0,2,13,9,8,21,34,59,39,39,58,57,47,48,56,64,72,62,65,73,68,46,33,18,46,77,15,13,100,84,59,34,26,55,45,56,54,28,16,12,18,20,19,18,41,46,29
7,ongles,40,"-8 %","5 %","4 %",85,84,83,78,68,67,64,62,61,62,65,61,55,60,64,61,61,68,75,86,71,71,83,79,72,72,78,84,88,81,79,79,77,83,88,88,82,85,82,86,87,95,85,82,84,84,92,97,88,90,97,100,92
8,ongles gel,39,"-9 %","4 %","-10 %",100,91,95,95,88,80,74,72,72,66,67,66,67,72,74,71,67,74,79,86,75,86,100,94,83,86,89,84,90,86,85,81,79,87,88,81,74,82,87,85,89,93,78,80,82,81,86,91,83,84,89,95,86
9,coiffure cheveux mi long,29,"1 %","-10 %","-10 %",72,76,83,100,79,78,74,73,68,66,57,56,57,58,59,59,59,64,65,92,66,48,54,60,64,66,64,68,68,67,70,68,71,67,73,66,70,73,74,80,86,81,69,74,73,74,69,64,65,59,63,62,63
10,ongles ete,28,"-30 %","-20 %","-9 %",63,40,27,15,5,2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,3,2,2,4,2,2,6,8,7,4,10,16,26,47,60,63,81,97,99,100,98,86,89,86,78,57
