date,Vitamin C Serum
2020-12-27,35
2021-01-03,36
2021-01-10,38
2021-01-17,32
2021-01-24,36
2021-01-31,38
2021-02-07,32
2021-02-14,35
2021-02-21,36
2021-02-28,40
2021-03-07,34
2021-03-14,32
2021-03-21,30
2021-03-28,39
2021-04-04,40
2021-04-11,34
2021-04-18,31
2021-04-25,34
2021-05-02,35
2021-05-09,29
2021-05-16,28
2021-05-23,30
2021-05-30,25
2021-06-06,23
2021-06-13,24
2021-06-20,20
2021-06-27,25
2021-07-04,21
2021-07-11,22
2021-07-18,20
2021-07-25,25
2021-08-01,25
2021-08-08,24
2021-08-15,27
2021-08-22,23
2021-08-29,24
2021-09-05,24
2021-09-12,23
2021-09-19,20
2021-09-26,18
2021-10-03,22
2021-10-10,27
2021-10-17,25
2021-10-24,24
2021-10-31,26
2021-11-07,27
2021-11-14,26
2021-11-21,25
2021-11-28,23
2021-12-05,27
2021-12-12,28
2021-12-19,24
2021-12-26,30
2022-01-02,31
2022-01-09,33
2022-01-16,26
2022-01-23,25
2022-01-30,33
2022-02-06,37
2022-02-13,41
2022-02-20,34
2022-02-27,38
2022-03-06,38
2022-03-13,43
2022-03-20,38
2022-03-27,53
2022-04-03,51
2022-04-10,48
2022-04-17,55
2022-04-24,52
2022-05-01,43
2022-05-08,39
2022-05-15,39
2022-05-22,38
2022-05-29,42
2022-06-05,37
2022-06-12,40
2022-06-19,42
2022-06-26,44
2022-07-03,42
2022-07-10,43
2022-07-17,44
2022-07-24,42
2022-07-31,34
2022-08-07,39
2022-08-14,38
2022-08-21,38
2022-08-28,41
2022-09-04,36
2022-09-11,35
2022-09-18,48
2022-09-25,51
2022-10-02,53
2022-10-09,48
2022-10-16,100
2022-10-23,60
2022-10-30,60
2022-11-06,56
2022-11-13,50
2022-11-20,53
2022-11-27,50
2022-12-04,45
2022-12-11,52
2022-12-18,54
2022-12-25,59
2023-01-01,70
2023-01-08,58
2023-01-15,57
2023-01-22,61
2023-01-29,62
2023-02-05,64
2023-02-12,71
2023-02-19,76
2023-02-26,79
2023-03-05,78
2023-03-12,79
2023-03-19,73
2023-03-26,73
2023-04-02,79
2023-04-09,99
2023-04-16,88
2023-04-23,74
2023-04-30,70
2023-05-07,69
2023-05-14,71
2023-05-21,79
2023-05-28,82
2023-06-04,76
2023-06-11,66
2023-06-18,60
2023-06-25,61
2023-07-02,72
2023-07-09,59
2023-07-16,57
2023-07-23,63
2023-07-30,64
2023-08-06,55
2023-08-13,61
2023-08-20,61
2023-08-27,54
2023-09-03,54
2023-09-10,57
2023-09-17,57
2023-09-24,56
2023-10-01,58
2023-10-08,56
2023-10-15,48
2023-10-22,56
2023-10-29,53
2023-11-05,62
2023-11-12,58
2023-11-19,61
2023-11-26,52
2023-12-03,56
2023-12-10,61
2023-12-17,54
2023-12-24,58
2023-12-31,60
