date,crème hydratante
2020-12-27,65
2021-01-03,52
2021-01-10,52
2021-01-17,57
2021-01-24,57
2021-01-31,52
2021-02-07,54
2021-02-14,66
2021-02-21,50
2021-02-28,60
2021-03-07,70
2021-03-14,63
2021-03-21,74
2021-03-28,64
2021-04-04,65
2021-04-11,72
2021-04-18,65
2021-04-25,62
2021-05-02,50
2021-05-09,50
2021-05-16,42
2021-05-23,62
2021-05-30,45
2021-06-06,44
2021-06-13,40
2021-06-20,37
2021-06-27,32
2021-07-04,36
2021-07-11,40
2021-07-18,44
2021-07-25,49
2021-08-01,45
2021-08-08,27
2021-08-15,42
2021-08-22,47
2021-08-29,49
2021-09-05,40
2021-09-12,34
2021-09-19,41
2021-09-26,31
2021-10-03,44
2021-10-10,50
2021-10-17,37
2021-10-24,39
2021-10-31,39
2021-11-07,52
2021-11-14,42
2021-11-21,51
2021-11-28,50
2021-12-05,63
2021-12-12,49
2021-12-19,55
2021-12-26,40
2022-01-02,42
2022-01-09,50
2022-01-16,63
2022-01-23,73
2022-01-30,64
2022-02-06,64
2022-02-13,55
2022-02-20,64
2022-02-27,81
2022-03-06,71
2022-03-13,82
2022-03-20,72
2022-03-27,67
2022-04-03,59
2022-04-10,48
2022-04-17,73
2022-04-24,65
2022-05-01,60
2022-05-08,74
2022-05-15,67
2022-05-22,50
2022-05-29,61
2022-06-05,48
2022-06-12,76
2022-06-19,61
2022-06-26,50
2022-07-03,50
2022-07-10,62
2022-07-17,51
2022-07-24,62
2022-07-31,65
2022-08-07,61
2022-08-14,51
2022-08-21,60
2022-08-28,42
2022-09-04,47
2022-09-11,55
2022-09-18,53
2022-09-25,57
2022-10-02,54
2022-10-09,59
2022-10-16,53
2022-10-23,52
2022-10-30,69
2022-11-06,69
2022-11-13,53
2022-11-20,65
2022-11-27,60
2022-12-04,67
2022-12-11,66
2022-12-18,56
2022-12-25,57
2023-01-01,66
2023-01-08,46
2023-01-15,61
2023-01-22,87
2023-01-29,75
2023-02-05,79
2023-02-12,77
2023-02-19,67
2023-02-26,80
2023-03-05,69
2023-03-12,68
2023-03-19,60
2023-03-26,62
2023-04-02,70
2023-04-09,56
2023-04-16,55
2023-04-23,79
2023-04-30,71
2023-05-07,62
2023-05-14,73
2023-05-21,63
2023-05-28,73
2023-06-04,69
2023-06-11,63
2023-06-18,60
2023-06-25,62
2023-07-02,65
2023-07-09,58
2023-07-16,66
2023-07-23,64
2023-07-30,68
2023-08-06,67
2023-08-13,66
2023-08-20,68
2023-08-27,60
2023-09-03,51
2023-09-10,47
2023-09-17,70
2023-09-24,63
2023-10-01,72
2023-10-08,62
2023-10-15,82
2023-10-22,72
2023-10-29,78
2023-11-05,79
2023-11-12,82
2023-11-19,87
2023-11-26,95
2023-12-03,85
2023-12-10,85
2023-12-17,86
2023-12-24,88
2023-12-31,100
