date,démaquillant
2020-12-27,90
2021-01-03,79
2021-01-10,78
2021-01-17,81
2021-01-24,97
2021-01-31,74
2021-02-07,71
2021-02-14,70
2021-02-21,76
2021-02-28,69
2021-03-07,73
2021-03-14,79
2021-03-21,68
2021-03-28,63
2021-04-04,55
2021-04-11,74
2021-04-18,71
2021-04-25,69
2021-05-02,65
2021-05-09,50
2021-05-16,56
2021-05-23,56
2021-05-30,52
2021-06-06,44
2021-06-13,37
2021-06-20,46
2021-06-27,51
2021-07-04,50
2021-07-11,55
2021-07-18,46
2021-07-25,52
2021-08-01,52
2021-08-08,53
2021-08-15,50
2021-08-22,56
2021-08-29,57
2021-09-05,53
2021-09-12,44
2021-09-19,40
2021-09-26,46
2021-10-03,51
2021-10-10,60
2021-10-17,51
2021-10-24,54
2021-10-31,55
2021-11-07,54
2021-11-14,72
2021-11-21,63
2021-11-28,69
2021-12-05,70
2021-12-12,58
2021-12-19,69
2021-12-26,71
2022-01-02,75
2022-01-09,62
2022-01-16,72
2022-01-23,68
2022-01-30,71
2022-02-06,73
2022-02-13,71
2022-02-20,61
2022-02-27,66
2022-03-06,81
2022-03-13,70
2022-03-20,73
2022-03-27,69
2022-04-03,64
2022-04-10,60
2022-04-17,59
2022-04-24,60
2022-05-01,66
2022-05-08,52
2022-05-15,61
2022-05-22,60
2022-05-29,59
2022-06-05,49
2022-06-12,44
2022-06-19,53
2022-06-26,53
2022-07-03,54
2022-07-10,53
2022-07-17,46
2022-07-24,53
2022-07-31,51
2022-08-07,53
2022-08-14,51
2022-08-21,48
2022-08-28,56
2022-09-04,61
2022-09-11,53
2022-09-18,57
2022-09-25,58
2022-10-02,67
2022-10-09,62
2022-10-16,60
2022-10-23,60
2022-10-30,71
2022-11-06,66
2022-11-13,75
2022-11-20,73
2022-11-27,69
2022-12-04,85
2022-12-11,72
2022-12-18,67
2022-12-25,95
2023-01-01,100
2023-01-08,91
2023-01-15,91
2023-01-22,90
2023-01-29,85
2023-02-05,95
2023-02-12,95
2023-02-19,90
2023-02-26,96
2023-03-05,81
2023-03-12,69
2023-03-19,77
2023-03-26,81
2023-04-02,72
2023-04-09,71
2023-04-16,78
2023-04-23,66
2023-04-30,74
2023-05-07,61
2023-05-14,67
2023-05-21,51
2023-05-28,65
2023-06-04,53
2023-06-11,59
2023-06-18,66
2023-06-25,63
2023-07-02,78
2023-07-09,66
2023-07-16,59
2023-07-23,64
2023-07-30,66
2023-08-06,63
2023-08-13,51
2023-08-20,55
2023-08-27,59
2023-09-03,56
2023-09-10,68
2023-09-17,56
2023-09-24,62
2023-10-01,59
2023-10-08,68
2023-10-15,65
2023-10-22,74
2023-10-29,75
2023-11-05,69
2023-11-12,62
2023-11-19,70
2023-11-26,82
2023-12-03,76
2023-12-10,83
2023-12-17,79
2023-12-24,80
2023-12-31,80
