date,moisturizing cream
2020-12-27,95
2021-01-03,79
2021-01-10,76
2021-01-17,78
2021-01-24,84
2021-01-31,83
2021-02-07,81
2021-02-14,76
2021-02-21,87
2021-02-28,83
2021-03-07,77
2021-03-14,75
2021-03-21,76
2021-03-28,68
2021-04-04,70
2021-04-11,75
2021-04-18,76
2021-04-25,63
2021-05-02,61
2021-05-09,68
2021-05-16,66
2021-05-23,65
2021-05-30,63
2021-06-06,59
2021-06-13,63
2021-06-20,62
2021-06-27,63
2021-07-04,60
2021-07-11,61
2021-07-18,64
2021-07-25,65
2021-08-01,61
2021-08-08,59
2021-08-15,57
2021-08-22,56
2021-08-29,53
2021-09-05,59
2021-09-12,54
2021-09-19,56
2021-09-26,60
2021-10-03,60
2021-10-10,60
2021-10-17,61
2021-10-24,62
2021-10-31,65
2021-11-07,68
2021-11-14,69
2021-11-21,75
2021-11-28,81
2021-12-05,68
2021-12-12,73
2021-12-19,69
2021-12-26,74
2022-01-02,81
2022-01-09,91
2022-01-16,83
2022-01-23,93
2022-01-30,87
2022-02-06,83
2022-02-13,81
2022-02-20,81
2022-02-27,75
2022-03-06,79
2022-03-13,74
2022-03-20,77
2022-03-27,74
2022-04-03,65
2022-04-10,68
2022-04-17,65
2022-04-24,69
2022-05-01,61
2022-05-08,61
2022-05-15,64
2022-05-22,57
2022-05-29,58
2022-06-05,60
2022-06-12,58
2022-06-19,63
2022-06-26,59
2022-07-03,60
2022-07-10,61
2022-07-17,61
2022-07-24,70
2022-07-31,62
2022-08-07,59
2022-08-14,62
2022-08-21,61
2022-08-28,61
2022-09-04,54
2022-09-11,54
2022-09-18,57
2022-09-25,56
2022-10-02,68
2022-10-09,66
2022-10-16,71
2022-10-23,68
2022-10-30,68
2022-11-06,72
2022-11-13,85
2022-11-20,93
2022-11-27,85
2022-12-04,75
2022-12-11,79
2022-12-18,87
2022-12-25,93
2023-01-01,100
2023-01-08,86
2023-01-15,83
2023-01-22,92
2023-01-29,89
2023-02-05,88
2023-02-12,84
2023-02-19,99
2023-02-26,88
2023-03-05,91
2023-03-12,85
2023-03-19,88
2023-03-26,88
2023-04-02,85
2023-04-09,86
2023-04-16,80
2023-04-23,84
2023-04-30,81
2023-05-07,80
2023-05-14,81
2023-05-21,78
2023-05-28,84
2023-06-04,77
2023-06-11,74
2023-06-18,74
2023-06-25,81
2023-07-02,77
2023-07-09,79
2023-07-16,74
2023-07-23,78
2023-07-30,80
2023-08-06,78
2023-08-13,77
2023-08-20,78
2023-08-27,71
2023-09-03,59
2023-09-10,57
2023-09-17,65
2023-09-24,63
2023-10-01,60
2023-10-08,71
2023-10-15,71
2023-10-22,65
2023-10-29,76
2023-11-05,78
2023-11-12,81
2023-11-19,92
2023-11-26,91
2023-12-03,84
2023-12-10,81
2023-12-17,87
2023-12-24,89
2023-12-31,100
