date,foundation
2020-12-27,32
2021-01-03,31
2021-01-10,33
2021-01-17,32
2021-01-24,35
2021-01-31,35
2021-02-07,38
2021-02-14,34
2021-02-21,36
2021-02-28,37
2021-03-07,38
2021-03-14,38
2021-03-21,43
2021-03-28,38
2021-04-04,37
2021-04-11,38
2021-04-18,36
2021-04-25,35
2021-05-02,39
2021-05-09,36
2021-05-16,35
2021-05-23,34
2021-05-30,34
2021-06-06,36
2021-06-13,35
2021-06-20,36
2021-06-27,37
2021-07-04,67
2021-07-11,84
2021-07-18,97
2021-07-25,90
2021-08-01,89
2021-08-08,84
2021-08-15,86
2021-08-22,86
2021-08-29,87
2021-09-05,99
2021-09-12,95
2021-09-19,99
2021-09-26,100
2021-10-03,97
2021-10-10,99
2021-10-17,87
2021-10-24,78
2021-10-31,80
2021-11-07,98
2021-11-14,87
2021-11-21,91
2021-11-28,87
2021-12-05,85
2021-12-12,77
2021-12-19,77
2021-12-26,78
2022-01-02,70
2022-01-09,66
2022-01-16,63
2022-01-23,62
2022-01-30,74
2022-02-06,70
2022-02-13,65
2022-02-20,66
2022-02-27,62
2022-03-06,65
2022-03-13,63
2022-03-20,66
2022-03-27,65
2022-04-03,52
2022-04-10,53
2022-04-17,58
2022-04-24,63
2022-05-01,63
2022-05-08,56
2022-05-15,60
2022-05-22,63
2022-05-29,62
2022-06-05,66
2022-06-12,65
2022-06-19,64
2022-06-26,64
2022-07-03,63
2022-07-10,66
2022-07-17,65
2022-07-24,64
2022-07-31,65
2022-08-07,90
2022-08-14,78
2022-08-21,70
2022-08-28,66
2022-09-04,62
2022-09-11,66
2022-09-18,64
2022-09-25,63
2022-10-02,67
2022-10-09,65
2022-10-16,65
2022-10-23,65
2022-10-30,62
2022-11-06,62
2022-11-13,63
2022-11-20,59
2022-11-27,58
2022-12-04,62
2022-12-11,64
2022-12-18,61
2022-12-25,64
2023-01-01,68
2023-01-08,66
2023-01-15,70
2023-01-22,72
2023-01-29,68
2023-02-05,70
2023-02-12,58
2023-02-19,43
2023-02-26,46
2023-03-05,44
2023-03-12,43
2023-03-19,44
2023-03-26,45
2023-04-02,42
2023-04-09,44
2023-04-16,45
2023-04-23,44
2023-04-30,42
2023-05-07,40
2023-05-14,42
2023-05-21,43
2023-05-28,39
2023-06-04,40
2023-06-11,43
2023-06-18,39
2023-06-25,43
2023-07-02,37
2023-07-09,44
2023-07-16,45
2023-07-23,43
2023-07-30,43
2023-08-06,41
2023-08-13,43
2023-08-20,43
2023-08-27,43
2023-09-03,43
2023-09-10,45
2023-09-17,43
2023-09-24,43
2023-10-01,41
2023-10-08,41
2023-10-15,41
2023-10-22,42
2023-10-29,39
2023-11-05,43
2023-11-12,42
2023-11-19,36
2023-11-26,45
2023-12-03,43
2023-12-10,41
2023-12-17,38
2023-12-24,38
2023-12-31,42
