date,mascara waterproof
2020-12-27,36
2021-01-03,40
2021-01-10,50
2021-01-17,54
2021-01-24,58
2021-01-31,39
2021-02-07,40
2021-02-14,56
2021-02-21,49
2021-02-28,42
2021-03-07,49
2021-03-14,51
2021-03-21,41
2021-03-28,41
2021-04-04,54
2021-04-11,44
2021-04-18,48
2021-04-25,33
2021-05-02,47
2021-05-09,43
2021-05-16,50
2021-05-23,45
2021-05-30,51
2021-06-06,60
2021-06-13,50
2021-06-20,48
2021-06-27,51
2021-07-04,57
2021-07-11,55
2021-07-18,46
2021-07-25,57
2021-08-01,66
2021-08-08,56
2021-08-15,49
2021-08-22,46
2021-08-29,51
2021-09-05,59
2021-09-12,44
2021-09-19,36
2021-09-26,46
2021-10-03,36
2021-10-10,40
2021-10-17,41
2021-10-24,46
2021-10-31,49
2021-11-07,50
2021-11-14,49
2021-11-21,45
2021-11-28,51
2021-12-05,55
2021-12-12,49
2021-12-19,60
2021-12-26,73
2022-01-02,77
2022-01-09,57
2022-01-16,56
2022-01-23,92
2022-01-30,66
2022-02-06,66
2022-02-13,66
2022-02-20,57
2022-02-27,62
2022-03-06,64
2022-03-13,70
2022-03-20,56
2022-03-27,54
2022-04-03,43
2022-04-10,50
2022-04-17,41
2022-04-24,48
2022-05-01,53
2022-05-08,54
2022-05-15,51
2022-05-22,47
2022-05-29,71
2022-06-05,64
2022-06-12,65
2022-06-19,68
2022-06-26,76
2022-07-03,84
2022-07-10,100
2022-07-17,81
2022-07-24,83
2022-07-31,81
2022-08-07,54
2022-08-14,59
2022-08-21,68
2022-08-28,59
2022-09-04,52
2022-09-11,64
2022-09-18,52
2022-09-25,48
2022-10-02,47
2022-10-09,54
2022-10-16,53
2022-10-23,53
2022-10-30,60
2022-11-06,60
2022-11-13,56
2022-11-20,67
2022-11-27,64
2022-12-04,64
2022-12-11,65
2022-12-18,67
2022-12-25,67
2023-01-01,57
2023-01-08,54
2023-01-15,52
2023-01-22,53
2023-01-29,53
2023-02-05,64
2023-02-12,51
2023-02-19,67
2023-02-26,64
2023-03-05,62
2023-03-12,63
2023-03-19,56
2023-03-26,56
2023-04-02,41
2023-04-09,49
2023-04-16,68
2023-04-23,71
2023-04-30,53
2023-05-07,69
2023-05-14,67
2023-05-21,61
2023-05-28,62
2023-06-04,90
2023-06-11,86
2023-06-18,84
2023-06-25,83
2023-07-02,97
2023-07-09,90
2023-07-16,95
2023-07-23,90
2023-07-30,71
2023-08-06,58
2023-08-13,65
2023-08-20,73
2023-08-27,70
2023-09-03,64
2023-09-10,68
2023-09-17,44
2023-09-24,61
2023-10-01,41
2023-10-08,49
2023-10-15,49
2023-10-22,62
2023-10-29,54
2023-11-05,49
2023-11-12,63
2023-11-19,72
2023-11-26,74
2023-12-03,74
2023-12-10,75
2023-12-17,68
2023-12-24,75
2023-12-31,64
